county,state,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,source
Jefferson,AL,850,930,1090,1400,1640,FY2025 HUD County FMR
Madison,AL,890,1000,1160,1470,1750,FY2025 HUD County FMR
Montgomery,AL,700,840,1010,1300,1500,FY2025 HUD County FMR
Shelby,TN,830,940,1080,1380,1680,FY2025 HUD County FMR
Hamilton,TN,850,890,1070,1400,1690,FY2025 HUD County FMR
Knox,TN,900,1030,1200,1540,1860,FY2025 HUD County FMR
Hinds,MS,700,830,1000,1310,1540,FY2025 HUD County FMR
Pulaski,AR,720,830,1030,1350,1710,FY2025 HUD County FMR
Jefferson,KY,880,940,1140,1470,1830,FY2025 HUD County FMR
Fayette,KY,920,1020,1190,1560,1890,FY2025 HUD County FMR
Mecklenburg,NC,1290,1390,1580,1940,2470,FY2025 HUD County FMR
Marion,IN,980,1050,1250,1540,1860,FY2025 HUD County FMR
Hamilton,IN,1200,1280,1510,1890,2250,FY2025 HUD County FMR
Maricopa,AZ,1400,1540,1830,2580,3090,FY2025 HUD County FMR
Boone,MO,750,870,1020,1310,1510,FY2025 HUD County FMR
